許思萊,pʰjwɐn
高本漢,pi̯uən
高本漢,bʱi̯ɛn
高本漢,bʰi̯ɛn
王力,pĭuən
王力,bĭɛn
王力,pǐuən
王力,bǐɛn
李方桂,pjuən
李方桂,bjwän
張世祿,piuən
張世祿,biæn
嚴學宭,pjuən
嚴學宭,bjɛn
董同龢,pjuən
董同龢,bʱjǣn
董同龢,bʰjæ̆n
周法高,piuən
周法高,bian
李榮,piuən
李榮,bjɛn
蒲立本,pun
蒲立本,bian
邵榮芬,piuən
邵榮芬,biæn
鄭張尚芳,pɨun
鄭張尚芳,bɣiᴇn
陳新雄,pfǐuən
陳新雄,bʰǐuɛn
潘悟雲,piun
潘悟雲,bɯiɛn
楊劍橋,piuən
楊劍橋,biæn
麥耘,piun
麥耘,briɛn
